line_item_id,billing_period_start,usage_start_time,usage_end_time,invoice_date,cloud_provider,payer_account_id,linked_account_id,service,usage_type,operation,region,resource_id,line_item_type,usage_amount,currency_code,unblended_cost,blended_cost,discount_type,cost_center,owner_team,environment,product_line,capitalization_candidate,initiative_id,initiative_stage,asset_lifecycle,accounting_policy_version,generator_batch_id,generated_at
batch-20260406T184645Z-222222222223-AWSDataTransfer-2026-03-08,2026-03-01 00:00:00+00:00,2026-03-08 00:00:00+00:00,2026-03-09 00:00:00+00:00,2026-04-05,aws,111111111111,222222222223,AWSDataTransfer,DataTransfer-Out-Bytes,InterRegionOut,eu-west-1,eni-yrosjoru,Usage,111.6516,USD,10.0434,9.8168,none,CC-1003,growth-engineering,staging,growth,false,GRO-508,operate,production,2026.1,batch-20260406T184645Z,2026-04-06 18:46:45.364015+00:00
batch-20260406T184645Z-222222222223-AWSSupport-2026-03-08,2026-03-01 00:00:00+00:00,2026-03-08 00:00:00+00:00,2026-03-09 00:00:00+00:00,2026-04-05,aws,111111111111,222222222223,AWSSupport,EnterpriseSupport,SupportSubscription,us-east-1,support-xxdoczuz,Usage,0.9234,USD,7.241,7.1354,none,CC-1003,growth-engineering,prod,growth,false,,operate,production,2026.1,batch-20260406T184645Z,2026-04-06 18:46:45.364015+00:00
batch-20260406T184645Z-222222222223-AmazonEC2-2026-03-08,2026-03-01 00:00:00+00:00,2026-03-08 00:00:00+00:00,2026-03-09 00:00:00+00:00,2026-04-05,aws,111111111111,222222222223,AmazonEC2,BoxUsage:m6i.large,RunInstances,eu-west-1,i-gyrdoxkx,Usage,13.8932,USD,48.6985,48.1126,none,CC-1003,growth-engineering,test,growth,false,GRO-482,operate,construction,2026.1,batch-20260406T184645Z,2026-04-06 18:46:45.364015+00:00
batch-20260406T184645Z-222222222223-AmazonRDS-2026-03-08,2026-03-01 00:00:00+00:00,2026-03-08 00:00:00+00:00,2026-03-09 00:00:00+00:00,2026-04-05,aws,111111111111,222222222223,AmazonRDS,InstanceUsage:db.r6g.large,CreateDBInstance,eu-west-1,db-mokiupkd,Usage,11.142,USD,19.6088,19.5878,none,CC-1003,growth-engineering,sandbox,growth,false,GRO-775,operate,construction,2026.1,batch-20260406T184645Z,2026-04-06 18:46:45.364015+00:00
batch-20260406T184645Z-222222222223-AmazonS3-2026-03-08,2026-03-01 00:00:00+00:00,2026-03-08 00:00:00+00:00,2026-03-09 00:00:00+00:00,2026-04-05,aws,111111111111,222222222223,AmazonS3,TimedStorage-ByteHrs,StandardStorage,us-east-1,bucket-wnqrsrpe,Usage,686.5663,USD,17.9206,17.7764,none,CC-1003,growth-engineering,prod,growth,true,GRO-926,implementation,maintenance,2026.1,batch-20260406T184645Z,2026-04-06 18:46:45.364015+00:00
batch-20260406T184645Z-222222222224-AWSDataTransfer-2026-03-08,2026-03-01 00:00:00+00:00,2026-03-08 00:00:00+00:00,2026-03-09 00:00:00+00:00,2026-04-05,aws,111111111111,222222222224,AWSDataTransfer,DataTransfer-Out-Bytes,InterRegionOut,us-west-2,eni-zxoigffw,Usage,84.5985,USD,7.6455,7.4296,none,CC-1004,data-platform,test,analytics,false,DAT-969,support,maintenance,2026.1,batch-20260406T184645Z,2026-04-06 18:46:45.364015+00:00
batch-20260406T184645Z-222222222224-AWSSupport-2026-03-08,2026-03-01 00:00:00+00:00,2026-03-08 00:00:00+00:00,2026-03-09 00:00:00+00:00,2026-04-05,aws,111111111111,222222222224,AWSSupport,EnterpriseSupport,SupportSubscription,eu-west-1,support-dhjokyrb,Usage,0.4601,USD,4.0307,3.9967,none,CC-1004,data-platform,sandbox,analytics,true,DAT-565,build,production,2026.1,batch-20260406T184645Z,2026-04-06 18:46:45.364015+00:00
batch-20260406T184645Z-222222222224-AmazonEC2-2026-03-08,2026-03-01 00:00:00+00:00,2026-03-08 00:00:00+00:00,2026-03-09 00:00:00+00:00,2026-04-05,aws,111111111111,222222222224,AmazonEC2,BoxUsage:m6i.large,RunInstances,us-east-1,i-renktunp,Usage,21.5845,USD,83.9785,81.7034,none,CC-1004,data-platform,prod,analytics,false,DAT-684,operate,production,2026.1,batch-20260406T184645Z,2026-04-06 18:46:45.364015+00:00
batch-20260406T184645Z-222222222224-AmazonRDS-2026-03-08,2026-03-01 00:00:00+00:00,2026-03-08 00:00:00+00:00,2026-03-09 00:00:00+00:00,2026-04-05,aws,111111111111,222222222224,AmazonRDS,InstanceUsage:db.r6g.large,CreateDBInstance,us-east-1,db-vjiqvlbl,Usage,23.0654,USD,43.0774,41.8505,none,CC-1004,data-platform,prod,analytics,true,DAT-385,implementation,production,2026.1,batch-20260406T184645Z,2026-04-06 18:46:45.364015+00:00
batch-20260406T184645Z-222222222224-AmazonS3-2026-03-08,2026-03-01 00:00:00+00:00,2026-03-08 00:00:00+00:00,2026-03-09 00:00:00+00:00,2026-04-05,aws,111111111111,222222222224,AmazonS3,TimedStorage-ByteHrs,StandardStorage,eu-west-1,bucket-fzpdjqip,Usage,721.4068,USD,17.4682,17.3957,none,CC-1004,data-platform,prod,analytics,true,DAT-789,implementation,production,2026.1,batch-20260406T184645Z,2026-04-06 18:46:45.364015+00:00
batch-20260406T184645Z-222222222221-AWSDataTransfer-2026-03-09,2026-03-01 00:00:00+00:00,2026-03-09 00:00:00+00:00,2026-03-10 00:00:00+00:00,2026-04-05,aws,111111111111,222222222221,AWSDataTransfer,DataTransfer-Out-Bytes,InterRegionOut,eu-west-1,eni-jmtpsiao,Usage,176.2447,USD,17.5916,17.2038,none,CC-1001,payments-platform,prod,payments,false,PAY-109,support,maintenance,2026.1,batch-20260406T184645Z,2026-04-06 18:46:45.364015+00:00
batch-20260406T184645Z-222222222221-AWSSupport-2026-03-09,2026-03-01 00:00:00+00:00,2026-03-09 00:00:00+00:00,2026-03-10 00:00:00+00:00,2026-04-05,aws,111111111111,222222222221,AWSSupport,EnterpriseSupport,SupportSubscription,eu-west-1,support-clrzawzk,Usage,0.7141,USD,5.5543,5.4966,none,CC-1001,payments-platform,test,payments,false,PAY-261,support,production,2026.1,batch-20260406T184645Z,2026-04-06 18:46:45.364015+00:00
batch-20260406T184645Z-222222222221-AWSSupport-2026-03-09-promotional_credit,2026-03-01 00:00:00+00:00,2026-03-09 00:00:00+00:00,2026-03-10 00:00:00+00:00,2026-04-05,aws,111111111111,222222222221,AWSSupport,EnterpriseSupport,SupportSubscription,eu-west-1,support-clrzawzk,Credit,0.0,USD,-1.3165,-1.3165,promotional_credit,CC-1001,payments-platform,test,payments,true,PAY-999,build,production,2026.1,batch-20260406T184645Z,2026-04-06 18:46:45.364015+00:00
batch-20260406T184645Z-222222222221-AmazonEC2-2026-03-09,2026-03-01 00:00:00+00:00,2026-03-09 00:00:00+00:00,2026-03-10 00:00:00+00:00,2026-04-05,aws,111111111111,222222222221,AmazonEC2,BoxUsage:m6i.large,RunInstances,us-east-1,i-ohbvrpoi,Usage,29.9804,USD,91.4872,90.2003,none,CC-1001,payments-platform,prod,payments,unknown,PAY-655,support,production,2026.1,batch-20260406T184645Z,2026-04-06 18:46:45.364015+00:00
batch-20260406T184645Z-222222222221-AmazonRDS-2026-03-09,2026-03-01 00:00:00+00:00,2026-03-09 00:00:00+00:00,2026-03-10 00:00:00+00:00,2026-04-05,aws,111111111111,222222222221,AmazonRDS,InstanceUsage:db.r6g.large,CreateDBInstance,us-east-1,db-cbfnogmb,Usage,26.6999,USD,53.3294,51.9389,none,CC-1001,payments-platform,prod,payments,false,PAY-423,operate,production,2026.1,batch-20260406T184645Z,2026-04-06 18:46:45.364015+00:00
batch-20260406T184645Z-222222222221-AmazonS3-2026-03-09,2026-03-01 00:00:00+00:00,2026-03-09 00:00:00+00:00,2026-03-10 00:00:00+00:00,2026-04-05,aws,111111111111,222222222221,AmazonS3,TimedStorage-ByteHrs,StandardStorage,us-east-1,bucket-vgrviflb,Usage,917.3323,USD,22.6131,22.3275,none,CC-1001,payments-platform,prod,payments,false,PAY-169,support,prototype,2026.1,batch-20260406T184645Z,2026-04-06 18:46:45.364015+00:00
batch-20260406T184645Z-222222222222-AWSDataTransfer-2026-03-09,2026-03-01 00:00:00+00:00,2026-03-09 00:00:00+00:00,2026-03-10 00:00:00+00:00,2026-04-05,aws,111111111111,222222222222,AWSDataTransfer,DataTransfer-Out-Bytes,InterRegionOut,eu-west-1,eni-jsonxkmt,Usage,112.3029,USD,8.9771,8.8172,none,CC-1002,core-infra,test,platform,false,INF-315,support,maintenance,2026.1,batch-20260406T184645Z,2026-04-06 18:46:45.364015+00:00
batch-20260406T184645Z-222222222222-AWSSupport-2026-03-09,2026-03-01 00:00:00+00:00,2026-03-09 00:00:00+00:00,2026-03-10 00:00:00+00:00,2026-04-05,aws,111111111111,222222222222,AWSSupport,EnterpriseSupport,SupportSubscription,us-west-2,support-ecqoxsfo,Usage,1.1264,USD,8.9604,8.9418,none,CC-1002,core-infra,prod,platform,false,INF-919,support,maintenance,2026.1,batch-20260406T184645Z,2026-04-06 18:46:45.364015+00:00
batch-20260406T184645Z-222222222222-AmazonEC2-2026-03-09,2026-03-01 00:00:00+00:00,2026-03-09 00:00:00+00:00,2026-03-10 00:00:00+00:00,2026-04-05,aws,111111111111,222222222222,AmazonEC2,BoxUsage:m6i.large,RunInstances,eu-west-1,i-sbvrjnwv,Usage,27.8185,USD,98.7614,98.4809,none,CC-1002,core-infra,prod,platform,true,INF-834,build,production,2026.1,batch-20260406T184645Z,2026-04-06 18:46:45.364015+00:00
batch-20260406T184645Z-222222222222-AmazonRDS-2026-03-09,2026-03-01 00:00:00+00:00,2026-03-09 00:00:00+00:00,2026-03-10 00:00:00+00:00,2026-04-05,aws,111111111111,222222222222,AmazonRDS,InstanceUsage:db.r6g.large,CreateDBInstance,us-west-2,db-zcudihyf,Usage,26.0066,USD,52.4394,51.3511,none,CC-1002,core-infra,prod,platform,false,INF-252,discovery,maintenance,2026.1,batch-20260406T184645Z,2026-04-06 18:46:45.364015+00:00
batch-20260406T184645Z-222222222222-AmazonS3-2026-03-09,2026-03-01 00:00:00+00:00,2026-03-09 00:00:00+00:00,2026-03-10 00:00:00+00:00,2026-04-05,aws,111111111111,222222222222,AmazonS3,TimedStorage-ByteHrs,StandardStorage,us-east-1,bucket-gfygwwmq,Usage,945.3086,USD,22.8913,22.5834,none,CC-1002,core-infra,prod,platform,true,INF-103,implementation,construction,2026.1,batch-20260406T184645Z,2026-04-06 18:46:45.364015+00:00
batch-20260406T184645Z-222222222223-AWSDataTransfer-2026-03-09,2026-03-01 00:00:00+00:00,2026-03-09 00:00:00+00:00,2026-03-10 00:00:00+00:00,2026-04-05,aws,111111111111,222222222223,AWSDataTransfer,DataTransfer-Out-Bytes,InterRegionOut,eu-west-1,eni-yrosjoru,Usage,135.779,USD,11.6332,11.4656,none,CC-1003,growth-engineering,staging,growth,true,GRO-623,build,production,2026.1,batch-20260406T184645Z,2026-04-06 18:46:45.364015+00:00
batch-20260406T184645Z-222222222223-AWSSupport-2026-03-09,2026-03-01 00:00:00+00:00,2026-03-09 00:00:00+00:00,2026-03-10 00:00:00+00:00,2026-04-05,aws,111111111111,222222222223,AWSSupport,EnterpriseSupport,SupportSubscription,us-east-1,support-xxdoczuz,Usage,0.8775,USD,7.5718,7.4954,none,CC-1003,growth-engineering,staging,growth,false,GRO-301,support,production,2026.1,batch-20260406T184645Z,2026-04-06 18:46:45.364015+00:00
batch-20260406T184645Z-222222222223-AmazonEC2-2026-03-09,2026-03-01 00:00:00+00:00,2026-03-09 00:00:00+00:00,2026-03-10 00:00:00+00:00,2026-04-05,aws,111111111111,222222222223,AmazonEC2,BoxUsage:m6i.large,RunInstances,us-west-2,i-gyrdoxkx,Usage,14.9688,USD,58.6489,58.3262,none,CC-1003,growth-engineering,test,growth,false,GRO-906,operate,construction,2026.1,batch-20260406T184645Z,2026-04-06 18:46:45.364015+00:00
batch-20260406T184645Z-222222222223-AmazonRDS-2026-03-09,2026-03-01 00:00:00+00:00,2026-03-09 00:00:00+00:00,2026-03-10 00:00:00+00:00,2026-04-05,aws,111111111111,222222222223,AmazonRDS,InstanceUsage:db.r6g.large,CreateDBInstance,us-west-2,db-mokiupkd,Usage,26.6992,USD,50.7414,49.3841,none,CC-1003,growth-engineering,prod,growth,false,GRO-128,support,production,2026.1,batch-20260406T184645Z,2026-04-06 18:46:45.364015+00:00
batch-20260406T184645Z-222222222223-AmazonS3-2026-03-09,2026-03-01 00:00:00+00:00,2026-03-09 00:00:00+00:00,2026-03-10 00:00:00+00:00,2026-04-05,aws,111111111111,222222222223,AmazonS3,TimedStorage-ByteHrs,StandardStorage,us-west-2,bucket-wnqrsrpe,Usage,982.1078,USD,22.3228,21.84,none,CC-1003,growth-engineering,prod,growth,false,GRO-124,operate,construction,2026.1,batch-20260406T184645Z,2026-04-06 18:46:45.364015+00:00
batch-20260406T184645Z-222222222224-AWSDataTransfer-2026-03-09,2026-03-01 00:00:00+00:00,2026-03-09 00:00:00+00:00,2026-03-10 00:00:00+00:00,2026-04-05,aws,111111111111,222222222224,AWSDataTransfer,DataTransfer-Out-Bytes,InterRegionOut,us-east-1,eni-zxoigffw,Usage,146.0072,USD,11.8768,11.5464,none,CC-1004,data-platform,staging,analytics,false,DAT-303,operate,construction,2026.1,batch-20260406T184645Z,2026-04-06 18:46:45.364015+00:00
batch-20260406T184645Z-222222222224-AWSSupport-2026-03-09,2026-03-01 00:00:00+00:00,2026-03-09 00:00:00+00:00,2026-03-10 00:00:00+00:00,2026-04-05,aws,111111111111,222222222224,AWSSupport,EnterpriseSupport,SupportSubscription,us-east-1,support-dhjokyrb,Usage,0.8973,USD,7.0879,7.039,none,CC-1004,data-platform,staging,analytics,true,DAT-606,build,production,2026.1,batch-20260406T184645Z,2026-04-06 18:46:45.364015+00:00
batch-20260406T184645Z-222222222224-AmazonEC2-2026-03-09,2026-03-01 00:00:00+00:00,2026-03-09 00:00:00+00:00,2026-03-10 00:00:00+00:00,2026-04-05,aws,111111111111,222222222224,AmazonEC2,BoxUsage:m6i.large,RunInstances,us-west-2,i-renktunp,Usage,16.2238,USD,55.0967,54.0705,none,CC-1004,data-platform,test,analytics,false,DAT-434,operate,production,2026.1,batch-20260406T184645Z,2026-04-06 18:46:45.364015+00:00
batch-20260406T184645Z-222222222224-AmazonRDS-2026-03-09,2026-03-01 00:00:00+00:00,2026-03-09 00:00:00+00:00,2026-03-10 00:00:00+00:00,2026-04-05,aws,111111111111,222222222224,AmazonRDS,InstanceUsage:db.r6g.large,CreateDBInstance,eu-west-1,db-vjiqvlbl,Usage,28.5431,USD,49.3986,48.4134,none,CC-1004,data-platform,prod,analytics,true,DAT-915,implementation,maintenance,2026.1,batch-20260406T184645Z,2026-04-06 18:46:45.364015+00:00
batch-20260406T184645Z-222222222224-AmazonS3-2026-03-09,2026-03-01 00:00:00+00:00,2026-03-09 00:00:00+00:00,2026-03-10 00:00:00+00:00,2026-04-05,aws,111111111111,222222222224,AmazonS3,TimedStorage-ByteHrs,StandardStorage,us-east-1,bucket-fzpdjqip,Usage,931.1986,USD,22.4566,22.0962,none,CC-1004,data-platform,prod,analytics,unknown,DAT-953,operate,production,2026.1,batch-20260406T184645Z,2026-04-06 18:46:45.364015+00:00
batch-20260406T184645Z-222222222221-AWSDataTransfer-2026-03-10,2026-03-01 00:00:00+00:00,2026-03-10 00:00:00+00:00,2026-03-11 00:00:00+00:00,2026-04-05,aws,111111111111,222222222221,AWSDataTransfer,DataTransfer-Out-Bytes,InterRegionOut,eu-west-1,eni-jmtpsiao,Usage,182.9922,USD,15.7336,15.4177,none,CC-1001,payments-platform,prod,payments,false,PAY-254,support,prototype,2026.1,batch-20260406T184645Z,2026-04-06 18:46:45.364015+00:00
batch-20260406T184645Z-222222222221-AWSSupport-2026-03-10,2026-03-01 00:00:00+00:00,2026-03-10 00:00:00+00:00,2026-03-11 00:00:00+00:00,2026-04-05,aws,111111111111,222222222221,AWSSupport,EnterpriseSupport,SupportSubscription,eu-west-1,support-clrzawzk,Usage,1.1773,USD,8.9913,8.8502,none,CC-1001,payments-platform,prod,payments,false,PAY-888,operate,production,2026.1,batch-20260406T184645Z,2026-04-06 18:46:45.364015+00:00
batch-20260406T184645Z-222222222221-AmazonEC2-2026-03-10,2026-03-01 00:00:00+00:00,2026-03-10 00:00:00+00:00,2026-03-11 00:00:00+00:00,2026-04-05,aws,111111111111,222222222221,AmazonEC2,BoxUsage:m6i.large,RunInstances,eu-west-1,i-ohbvrpoi,Usage,27.6575,USD,95.2143,94.6471,none,CC-1001,payments-platform,prod,payments,true,PAY-630,build,maintenance,2026.1,batch-20260406T184645Z,2026-04-06 18:46:45.364015+00:00
batch-20260406T184645Z-222222222221-AmazonRDS-2026-03-10,2026-03-01 00:00:00+00:00,2026-03-10 00:00:00+00:00,2026-03-11 00:00:00+00:00,2026-04-05,aws,111111111111,222222222221,AmazonRDS,InstanceUsage:db.r6g.large,CreateDBInstance,eu-west-1,db-cbfnogmb,Usage,15.5855,USD,29.3215,29.0695,none,CC-1001,payments-platform,test,payments,true,PAY-960,implementation,production,2026.1,batch-20260406T184645Z,2026-04-06 18:46:45.364015+00:00
batch-20260406T184645Z-222222222221-AmazonS3-2026-03-10,2026-03-01 00:00:00+00:00,2026-03-10 00:00:00+00:00,2026-03-11 00:00:00+00:00,2026-04-05,aws,111111111111,222222222221,AmazonS3,TimedStorage-ByteHrs,StandardStorage,eu-west-1,bucket-vgrviflb,Usage,465.0215,USD,11.3832,11.194,none,CC-1001,payments-platform,sandbox,payments,false,PAY-553,operate,maintenance,2026.1,batch-20260406T184645Z,2026-04-06 18:46:45.364015+00:00
batch-20260406T184645Z-222222222222-AWSDataTransfer-2026-03-10,2026-03-01 00:00:00+00:00,2026-03-10 00:00:00+00:00,2026-03-11 00:00:00+00:00,2026-04-05,aws,111111111111,222222222222,AWSDataTransfer,DataTransfer-Out-Bytes,InterRegionOut,us-east-1,eni-jsonxkmt,Usage,96.5712,USD,9.4524,9.4388,none,CC-1002,core-infra,test,platform,true,INF-531,build,maintenance,2026.1,batch-20260406T184645Z,2026-04-06 18:46:45.364015+00:00
batch-20260406T184645Z-222222222222-AWSSupport-2026-03-10,2026-03-01 00:00:00+00:00,2026-03-10 00:00:00+00:00,2026-03-11 00:00:00+00:00,2026-04-05,aws,111111111111,222222222222,AWSSupport,EnterpriseSupport,SupportSubscription,us-east-1,support-ecqoxsfo,Usage,1.1068,USD,10.0094,9.8513,none,CC-1002,core-infra,prod,platform,false,INF-131,support,prototype,2026.1,batch-20260406T184645Z,2026-04-06 18:46:45.364015+00:00
batch-20260406T184645Z-222222222222-AmazonEC2-2026-03-10,2026-03-01 00:00:00+00:00,2026-03-10 00:00:00+00:00,2026-03-11 00:00:00+00:00,2026-04-05,aws,111111111111,222222222222,AmazonEC2,BoxUsage:m6i.large,RunInstances,eu-west-1,i-sbvrjnwv,Usage,29.8721,USD,101.7074,100.1459,none,CC-1002,core-infra,prod,platform,true,INF-955,implementation,maintenance,2026.1,batch-20260406T184645Z,2026-04-06 18:46:45.364015+00:00
batch-20260406T184645Z-222222222222-AmazonRDS-2026-03-10,2026-03-01 00:00:00+00:00,2026-03-10 00:00:00+00:00,2026-03-11 00:00:00+00:00,2026-04-05,aws,111111111111,222222222222,AmazonRDS,InstanceUsage:db.r6g.large,CreateDBInstance,us-west-2,db-zcudihyf,Usage,19.9637,USD,36.7532,36.152,none,CC-1002,core-infra,staging,platform,false,INF-538,operate,prototype,2026.1,batch-20260406T184645Z,2026-04-06 18:46:45.364015+00:00
batch-20260406T184645Z-222222222222-AmazonS3-2026-03-10,2026-03-01 00:00:00+00:00,2026-03-10 00:00:00+00:00,2026-03-11 00:00:00+00:00,2026-04-05,aws,111111111111,222222222222,AmazonS3,TimedStorage-ByteHrs,StandardStorage,us-east-1,bucket-gfygwwmq,Usage,984.3635,USD,23.9851,23.6499,none,CC-1002,core-infra,prod,platform,true,INF-917,implementation,production,2026.1,batch-20260406T184645Z,2026-04-06 18:46:45.364015+00:00
batch-20260406T184645Z-222222222223-AWSDataTransfer-2026-03-10,2026-03-01 00:00:00+00:00,2026-03-10 00:00:00+00:00,2026-03-11 00:00:00+00:00,2026-04-05,aws,111111111111,222222222223,AWSDataTransfer,DataTransfer-Out-Bytes,InterRegionOut,us-west-2,eni-yrosjoru,Usage,109.4604,USD,9.6744,9.6644,none,CC-1003,growth-engineering,test,growth,false,GRO-470,operate,prototype,2026.1,batch-20260406T184645Z,2026-04-06 18:46:45.364015+00:00
batch-20260406T184645Z-222222222223-AWSSupport-2026-03-10,2026-03-01 00:00:00+00:00,2026-03-10 00:00:00+00:00,2026-03-11 00:00:00+00:00,2026-04-05,aws,111111111111,222222222223,AWSSupport,EnterpriseSupport,SupportSubscription,eu-west-1,support-xxdoczuz,Usage,0.6956,USD,5.2654,5.1211,none,CC-1003,growth-engineering,test,growth,false,GRO-546,operate,production,2026.1,batch-20260406T184645Z,2026-04-06 18:46:45.364015+00:00
batch-20260406T184645Z-222222222223-AmazonEC2-2026-03-10,2026-03-01 00:00:00+00:00,2026-03-10 00:00:00+00:00,2026-03-11 00:00:00+00:00,2026-04-05,aws,111111111111,222222222223,AmazonEC2,BoxUsage:m6i.large,RunInstances,eu-west-1,i-gyrdoxkx,Usage,13.9986,USD,50.019,48.7642,none,CC-1003,growth-engineering,sandbox,growth,true,GRO-477,implementation,construction,2026.1,batch-20260406T184645Z,2026-04-06 18:46:45.364015+00:00
